,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
148,Senate,05/01/2024,1900-01-01 10:01:00,,,INPUT BY HAND,Days in sessionTime in session,https://www.congress.gov/congressional-record/2024/5/1/daily-digest
149,House,05/01/2024,10:00AM,18:40PM,520.0,x,Adjournment: The House met at 10 a.m. and adjourned at 6:40 p.m.    ,https://www.congress.gov/congressional-record/2024/5/1/daily-digest
150,Senate,05/02/2024,1900-01-01 10:00:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/5/2/daily-digest
151,House,05/02/2024,10:00AM,10:02AM,2.0,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:02 a.m.  ,https://www.congress.gov/congressional-record/2024/5/2/daily-digest
152,Senate,05/03/2024,,,,pf,The Senate met at 9:00:03 a.m. in pro forma session and adjourned at 9:00:38 a.m. until 3 p.m. on Tuesday May 7 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/5/3/daily-digest
153,House,05/03/2024,,,,NS,The House was not in session today. The House will meet at 12 p.m. on Monday May 6 2024.  No hearings were held.  ,https://www.congress.gov/congressional-record/2024/5/3/daily-digest
154,Senate,05/06/2024,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Tuesday May 7 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/5/6/daily-digest
155,House,05/06/2024,12:00PM,21:12PM,552.0,x,Adjournment: The House met at 12 p.m. and adjourned at 9:12 p.m.  ,https://www.congress.gov/congressional-record/2024/5/6/daily-digest
156,Senate,05/07/2024,15:00PM,19:34PM,274.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:34 p.m. until 10 a.m. on Wednesday May 8 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/7/daily-digest
157,House,05/07/2024,10:00AM,19:39PM,579.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:39 p.m.   ,https://www.congress.gov/congressional-record/2024/5/7/daily-digest
158,Senate,05/08/2024,10:00AM,18:58PM,538.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:58 p.m. until 12 noon on Thursday May 9 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/8/daily-digest
159,House,05/08/2024,10:00AM,19:29PM,569.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:29 p.m.  ,https://www.congress.gov/congressional-record/2024/5/8/daily-digest
160,Senate,05/09/2024,,,,NS,The House was not in session today. The House will meet in Pro Forma session at 12:30 p.m. on Friday May 10 2024. ,https://www.congress.gov/congressional-record/2024/5/9/daily-digest
161,House,05/09/2024,,,,NS,The House was not in session today. The House will meet in Pro Forma session at 12:30 p.m. on Friday May 10 2024. No hearings were held.,https://www.congress.gov/congressional-record/2024/5/9/daily-digest
162,Senate,05/10/2024,,,,pf,The Senate met at 6:30:00 p.m. in pro forma session and adjourned at 6:30:30 p.m. until 3 p.m. on Tuesday May 14 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/5/10/daily-digest
163,House,05/10/2024,12:30PM,12:34PM,4.0,pf,Adjournment: The House met at 12:30 p.m. and adjourned at 12:34 p.m.,https://www.congress.gov/congressional-record/2024/5/10/daily-digest
164,Senate,05/14/2024,15:00PM,18:49PM,229.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:49 p.m. until 10 a.m. on Wednesday May 15 2024. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/14/daily-digest
165,House,05/14/2024,12:00PM,21:07PM,547.0,x,Adjournment: The House met at 12 p.m. and adjourned at 9:07 p.m.,https://www.congress.gov/congressional-record/2024/5/14/daily-digest
166,Senate,05/15/2024,10:00AM,20:04PM,604.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 8:04 p.m. until 10 a.m. on Thursday May 16 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/15/daily-digest
167,House,05/15/2024,10:00AM,20:33PM,633.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:33 p.m.,https://www.congress.gov/congressional-record/2024/5/15/daily-digest
168,Senate,05/16/2024,10:00AM,15:51PM,351.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:51 p.m. until 3 p.m. on Monday May 20 2024. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/16/daily-digest
169,House,05/16/2024,10:00AM,19:28PM,568.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:28 p.m.,https://www.congress.gov/congressional-record/2024/5/16/daily-digest
170,Senate,05/17/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/5/17/daily-digest
171,House,05/17/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/5/17/daily-digest
172,Senate,05/20/2024,15:00PM,18:43PM,223.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:43 p.m. until 10 a.m. on Tuesday May 21 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/20/daily-digest
173,House,05/20/2024,,,,NS,The House was not in session. The House will meet at 12 p.m. on Tuesday May 21 2024.No hearings were held.,https://www.congress.gov/congressional-record/2024/5/20/daily-digest
174,Senate,05/21/2024,10:00AM,19:46PM,586.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:46 p.m. until 10 a.m. on Wednesday May 22 2024. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/21/daily-digest
