,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
113,House,03/31/2022,10:00AM,20:25PM,625.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:25 p.m. ,https://www.congress.gov/congressional-record/2022/3/31/daily-digest
114,Senate,04/01/2022,,,,NS,The Senate was not in session and stands in recess until 3 p.m. on Monday April 4 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/1/daily-digest
115,House,04/01/2022,09:00AM,14:26PM,326.0,x,Adjournment: The House met at 9 a.m. and adjourned at 2:26 p.m. ,https://www.congress.gov/congressional-record/2022/4/1/daily-digest
116,Senate,04/04/2022,15:00PM,19:46PM,286.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:46 p.m. until 10 a.m. on Tuesday April 5 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/4/daily-digest
117,House,04/04/2022,12:00PM,20:13PM,493.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:13 p.m. ,https://www.congress.gov/congressional-record/2022/4/4/daily-digest
118,Senate,04/05/2022,10:00AM,19:22PM,562.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:22 p.m. until 10 a.m. on Wednesday April 6 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/5/daily-digest
119,House,04/05/2022,10:00AM,17:08PM,428.0,x,Adjournment: The House met at 10 a.m. and adjourned at 5:08 p.m. ,https://www.congress.gov/congressional-record/2022/4/5/daily-digest
120,Senate,04/06/2022,10:00AM,21:35PM,695.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:35 p.m. until 9:30 a.m. on Thursday April 7 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/6/daily-digest
121,House,04/06/2022,10:00AM,21:01PM,661.0,x,Adjournment: The House met at 10 a.m. and adjourned at 9:01 p.m.   ,https://www.congress.gov/congressional-record/2022/4/6/daily-digest
122,Senate,04/07/2022,1900-01-01 09:30:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/4/7/daily-digest
123,House,04/07/2022,09:00AM,14:29PM,329.0,x,Adjournment:  The House met at 9 a.m. and adjourned at 2:29 p.m.    ,https://www.congress.gov/congressional-record/2022/4/7/daily-digest
124,Senate,04/11/2022,,,,pf,The Senate met at 11:30 a.m. in pro forma session and adjourned at 11:32 a.m. until 11 a.m. on Thursday April 14 2022.A unanimous-consent agreement was reached providing that the pro forma session scheduled for 4 p.m. on Monday April 18 2022 now be scheduled to occur at 12:30 p.m. on Monday April 18 2022; and that the pro forma session scheduled for 12 noon on Thursday April 21 2022 now be scheduled to occur at 8:45 a.m. on Thursday April 21 2022.,https://www.congress.gov/congressional-record/2022/4/11/daily-digest
125,House,04/11/2022,10:30AM,10:33AM,3.0,pf,Adjournment:The House met at 10:30 a.m. and adjourned at 10:33 a.m.,https://www.congress.gov/congressional-record/2022/4/11/daily-digest
126,Senate,04/14/2022,,,,pf,The Senate met at 11 a.m. in pro forma session and adjourned at 11:00:08 a.m. until 12:30 p.m. on Monday April 18 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/14/daily-digest
127,House,04/14/2022,13:00PM,13:03PM,3.0,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:03 p.m.   ,https://www.congress.gov/congressional-record/2022/4/14/daily-digest
128,Senate,04/18/2022,,,,pf,The Senate met at 12:40:01 p.m. in pro forma session and adjourned at 12:40:30 p.m. until 8:45 a.m. on Thursday April 21 2022.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/18/daily-digest
129,House,04/18/2022,13:00PM,13:02PM,2.0,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:02 p.m.   ,https://www.congress.gov/congressional-record/2022/4/18/daily-digest
130,Senate,04/21/2022,,,,pf,The Senate met at 8:57:50 a.m. in pro forma session and adjourned at 8:58:22 a.m. until 3 p.m. on Monday April 25 2022.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/21/daily-digest
