,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
108,Senate,03/29/2023,10:00AM,19:37PM,577.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:37 p.m. until 10 a.m. on Thursday March 30 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/29/daily-digest
109,House,03/29/2023,10:00AM,21:35PM,695.0,x,Adjournment: The House met at 10 a.m. and adjourned at 9:35 p.m.,https://www.congress.gov/congressional-record/2023/3/29/daily-digest
110,Senate,03/30/2023,10:00AM,15:26PM,326.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:26 p.m. until 12 noon on Monday April 3 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/30/daily-digest
111,House,03/30/2023,09:00AM,13:32PM,272.0,x,Adjournment: The House met at 9 a.m. and adjourned at 1:32 p.m.  ,https://www.congress.gov/congressional-record/2023/3/30/daily-digest
112,Senate,04/03/2023,,,,pf,The Senate met at 12 p.m. in pro forma session and adjourned at 12:00:37 p.m. until 10 a.m. on Thursday April 6 2023.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2023/4/3/daily-digest
113,House,04/03/2023,14:00PM,14:02PM,2.0,pf,Adjournment: The House met at 2 p.m. and adjourned at 2:02 p.m. ,https://www.congress.gov/congressional-record/2023/4/3/daily-digest
114,Senate,04/06/2023,,,,pf,The Senate met at 10 a.m. in pro forma session and adjourned at 10:00:30 a.m. until 11:30 a.m. on Monday April 10 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/4/6/daily-digest
115,House,04/06/2023,11:00AM,11:03AM,3.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m.,https://www.congress.gov/congressional-record/2023/4/6/daily-digest
116,Senate,04/10/2023,,,,pf,The Senate met at 11:30:00 a.m. in pro forma session and adjourned at 11:30:33 a.m. until 8:45 a.m. on Thursday April 13 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/4/10/daily-digest
117,House,04/10/2023,14:00PM,14:08PM,8.0,pf,Adjournment: The House met at 2 p.m. and adjourned at 2:08 p.m.   ,https://www.congress.gov/congressional-record/2023/4/10/daily-digest
118,Senate,04/13/2023,,,,pf,The Senate met at 8:46:14 a.m. in pro forma session and adjourned at 8:47 a.m. until 3 p.m. on Monday April 17 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/4/13/daily-digest
119,House,04/13/2023,11:00AM,11:03AM,3.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2023/4/13/daily-digest
120,Senate,04/17/2023,15:00PM,18:28PM,208.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:28 p.m. until 10 a.m. on Tuesday April 18 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/4/17/daily-digest
121,House,04/17/2023,14:00PM,21:48PM,468.0,x,Adjournment: The House met at 2 p.m. and adjourned at 9:48 p.m.   ,https://www.congress.gov/congressional-record/2023/4/17/daily-digest
122,Senate,04/18/2023,10:00AM,18:20PM,500.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:20 p.m. until 10 a.m. on Wednesday April 19 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/4/18/daily-digest
