House or Senate,Date,Time Convened,Time Adjourned,Time in Session (minutes),"Working Day? (x = working day, pf = pro forma, NS = not in session)",Scraped adjournment string,url,Time in Session,Working Day?
Senate,3/23/22,10:00AM,21:51PM,711,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:51 p.m. until 10 a.m. on Thursday March 24 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/23/daily-digest,,
House,3/23/22,,,,NS,The House was not in session today. The House is scheduled to meet at 1 p.m. on Thursday March 24 2022.No hearings were held. ,https://www.congress.gov/congressional-record/2022/3/23/daily-digest,,
Senate,3/24/22,10:00AM,16:19PM,379,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:19 p.m. until 3 p.m. on Monday March 28 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/24/daily-digest,,
House,3/24/22,13:00PM,13:02PM,2,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:02 p.m.   ,https://www.congress.gov/congressional-record/2022/3/24/daily-digest,,
Senate,3/28/22,15:00PM,19:35PM,275,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:35 p.m. until 10 a.m. on Tuesday March 29 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/28/daily-digest,,
House,3/28/22,14:00PM,19:33PM,333,x,Adjournment: The House met at 2 p.m. and adjourned at 7:33 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/3/28/daily-digest,,
Senate,3/29/22,10:00,19:59,9:59,x,,https://www.congress.gov/congressional-record/2022/3/29/daily-digest,,
House,3/29/22,15:00PM,20:31PM,331,x,Adjournment: The House met at 3 p.m. and adjourned at 8:31 p.m.   ,https://www.congress.gov/congressional-record/2022/3/29/daily-digest,,
Senate,3/30/22,10:00AM,22:34PM,754,x,Adjournment: Senate convened at 10 a.m. and adjourned at 10:34 p.m. until 10 a.m. on Thursday March 31 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/30/daily-digest,,
House,3/30/22,10:00AM,16:36PM,396,x,Adjournment: The House met at 10 a.m. and adjourned at 4:36 p.m. ,https://www.congress.gov/congressional-record/2022/3/30/daily-digest,,
Senate,3/31/22,10:00,16:24,6:24,x,,https://www.congress.gov/congressional-record/2022/3/31/daily-digest,,
House,3/31/22,10:00AM,20:25PM,625,x,Adjournment: The House met at 10 a.m. and adjourned at 8:25 p.m. ,https://www.congress.gov/congressional-record/2022/3/31/daily-digest,,
Senate,4/1/22,,,,NS,The Senate was not in session and stands in recess until 3 p.m. on Monday April 4 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/1/daily-digest,,
House,4/1/22,09:00AM,14:26PM,326,x,Adjournment: The House met at 9 a.m. and adjourned at 2:26 p.m. ,https://www.congress.gov/congressional-record/2022/4/1/daily-digest,,
Senate,4/4/22,15:00PM,19:46PM,286,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:46 p.m. until 10 a.m. on Tuesday April 5 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/4/daily-digest,,
House,4/4/22,12:00PM,20:13PM,493,x,Adjournment: The House met at 12 p.m. and adjourned at 8:13 p.m. ,https://www.congress.gov/congressional-record/2022/4/4/daily-digest,,
Senate,4/5/22,10:00AM,19:22PM,562,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:22 p.m. until 10 a.m. on Wednesday April 6 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/5/daily-digest,,
House,4/5/22,10:00AM,17:08PM,428,x,Adjournment: The House met at 10 a.m. and adjourned at 5:08 p.m. ,https://www.congress.gov/congressional-record/2022/4/5/daily-digest,,
Senate,4/6/22,10:00AM,21:35PM,695,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:35 p.m. until 9:30 a.m. on Thursday April 7 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/6/daily-digest,,
House,4/6/22,10:00AM,21:01PM,661,x,Adjournment: The House met at 10 a.m. and adjourned at 9:01 p.m.   ,https://www.congress.gov/congressional-record/2022/4/6/daily-digest,,
Senate,4/7/22,9:30,17:10,7:40,x,,https://www.congress.gov/congressional-record/2022/4/7/daily-digest,,
House,4/7/22,09:00AM,14:29PM,329,x,Adjournment:  The House met at 9 a.m. and adjourned at 2:29 p.m.    ,https://www.congress.gov/congressional-record/2022/4/7/daily-digest,,
Senate,4/11/22,,,,pf,The Senate met at 11:30 a.m. in pro forma session and adjourned at 11:32 a.m. until 11 a.m. on Thursday April 14 2022.A unanimous-consent agreement was reached providing that the pro forma session scheduled for 4 p.m. on Monday April 18 2022 now be scheduled to occur at 12:30 p.m. on Monday April 18 2022; and that the pro forma session scheduled for 12 noon on Thursday April 21 2022 now be scheduled to occur at 8:45 a.m. on Thursday April 21 2022.,https://www.congress.gov/congressional-record/2022/4/11/daily-digest,,
House,4/11/22,10:30AM,10:33AM,3,pf,Adjournment:The House met at 10:30 a.m. and adjourned at 10:33 a.m.,https://www.congress.gov/congressional-record/2022/4/11/daily-digest,,
Senate,4/14/22,,,,pf,The Senate met at 11 a.m. in pro forma session and adjourned at 11:00:08 a.m. until 12:30 p.m. on Monday April 18 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/14/daily-digest,,
House,4/14/22,13:00PM,13:03PM,3,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:03 p.m.   ,https://www.congress.gov/congressional-record/2022/4/14/daily-digest,,
Senate,4/18/22,,,,pf,The Senate met at 12:40:01 p.m. in pro forma session and adjourned at 12:40:30 p.m. until 8:45 a.m. on Thursday April 21 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/18/daily-digest,,
House,4/18/22,13:00PM,13:02PM,2,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:02 p.m.   ,https://www.congress.gov/congressional-record/2022/4/18/daily-digest,,
Senate,4/21/22,,,,pf,The Senate met at 8:57:50 a.m. in pro forma session and adjourned at 8:58:22 a.m. until 3 p.m. on Monday April 25 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/21/daily-digest,,
House,4/21/22,09:00AM,09:02AM,2,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:02 a.m.  ,https://www.congress.gov/congressional-record/2022/4/21/daily-digest,,
